time,essid,signal_total,signal_level_dBm,signal_quality
2019-08-16T10:22:01,MOVISTAR_67E6,70,-70,40
2019-08-16T10:22:01,MOVISTAR_67E6b,70,-58,52
2019-08-16T10:23:01,MOVISTAR_67E6,70,-71,39
2019-08-16T10:23:01,MOVISTAR_67E6b,70,-59,51
2019-08-16T10:24:02,MOVISTAR_67E6,70,-71,39
2019-08-16T10:24:02,MOVISTAR_67E6b,70,-60,50
2019-08-16T10:25:01,MOVISTAR_67E6,70,-74,36
2019-08-16T10:25:01,MOVISTAR_67E6b,70,-62,48
2019-08-16T10:26:01,MOVISTAR_67E6,70,-75,35
2019-08-16T10:26:01,MOVISTAR_67E6b,70,-62,48
2019-08-16T10:27:01,MOVISTAR_67E6,70,-71,39
2019-08-16T10:27:01,MOVISTAR_67E6b,70,-59,51
2019-08-16T10:28:01,MOVISTAR_67E6,70,-75,35
2019-08-16T10:28:01,MOVISTAR_67E6b,70,-63,47
2019-08-16T10:29:02,MOVISTAR_67E6,70,-76,34
2019-08-16T10:29:02,MOVISTAR_67E6b,70,-58,52
2019-08-16T10:30:01,MOVISTAR_67E6,70,-74,36
2019-08-16T10:30:01,MOVISTAR_67E6b,70,-60,50
2019-08-16T10:31:01,MOVISTAR_67E6,70,-75,35
2019-08-16T10:31:01,MOVISTAR_67E6b,70,-60,50
2019-08-16T10:32:01,MOVISTAR_67E6,70,-81,29
2019-08-16T10:32:01,MOVISTAR_67E6b,70,-59,51
2019-08-16T10:33:02,MOVISTAR_67E6,70,-76,34
2019-08-16T10:33:02,MOVISTAR_67E6b,70,-56,54
2019-08-16T10:34:01,MOVISTAR_67E6,70,-77,33
2019-08-16T10:34:01,MOVISTAR_67E6b,70,-57,53
2019-08-16T10:35:01,MOVISTAR_67E6,70,-70,40
2019-08-16T10:35:01,MOVISTAR_67E6b,70,-59,51
2019-08-16T10:36:01,MOVISTAR_67E6,70,-76,34
2019-08-16T10:36:01,MOVISTAR_67E6b,70,-57,53
2019-08-16T10:37:02,MOVISTAR_67E6,70,-73,37
2019-08-16T10:37:02,MOVISTAR_67E6b,70,-60,50
2019-08-16T10:38:01,MOVISTAR_67E6,70,-69,41
2019-08-16T10:38:01,MOVISTAR_67E6b,70,-58,52
2019-08-16T10:39:01,MOVISTAR_67E6,70,-78,32
2019-08-16T10:39:01,MOVISTAR_67E6b,70,-58,52
2019-08-16T10:40:01,MOVISTAR_67E6,70,-70,40
2019-08-16T10:40:01,MOVISTAR_67E6b,70,-58,52
